즐거운밥상     한국사회적기업 진흥원 선정
하나환경     한국사회적기업 진흥원 선정
우리아이친환경     한국사회적기업 진흥원 선정
한국복지방송     한국사회적기업 진흥원 선정
동춘서커스진흥원     한국사회적기업 진흥원 선정
정가악회     한국사회적기업 진흥원 선정
극단아리랑     한국사회적기업 진흥원 선정
대안영상문화발전소아이공     한국사회적기업 진흥원 선정
나눔환경     한국사회적기업 진흥원 선정
무지개자활공동체     한국사회적기업 진흥원 선정
워킹맘     한국사회적기업 진흥원 선정
산머루마을영농조합법인     한국사회적기업 진흥원 선정
대산환경[사업서비스업]     한국사회적기업 진흥원 선정
유한회사아리울명가자연더하기     한국사회적기업 진흥원 선정
완주로컬푸드영농조합법인건강한밥상     한국사회적기업 진흥원 선정
꼭두     한국사회적기업 진흥원 선정
전북예술문화원     한국사회적기업 진흥원 선정
전통문화마을     한국사회적기업 진흥원 선정
교동아트     한국사회적기업 진흥원 선정
타밀     한국사회적기업 진흥원 선정
농업회사법인흙살림푸드     한국사회적기업 진흥원 선정
은빛작업장     한국사회적기업 진흥원 선정
경계없는예술센터     한국사회적기업 진흥원 선정
떡찌니     한국사회적기업 진흥원 선정
아하!열린교육센터     한국사회적기업 진흥원 선정
노름마치예술단     한국사회적기업 진흥원 선정
문화예술교육협회     한국사회적기업 진흥원 선정
디자인나무     한국사회적기업 진흥원 선정
유스바람개비     한국사회적기업 진흥원 선정
성우환경     한국사회적기업 진흥원 선정
중구장애인보호작업장     한국사회적기업 진흥원 선정
영농조합법인창녕로컬푸드     한국사회적기업 진흥원 선정
광주돌봄     한국사회적기업 진흥원 선정
하나더하기     한국사회적기업 진흥원 선정
한국척수장애인협회디지털사업단     한국사회적기업 진흥원 선정
굿데이크리닝서비스     한국사회적기업 진흥원 선정
한국자재산업     한국사회적기업 진흥원 선정
더피움     한국사회적기업 진흥원 선정
해미읍성역사보존회     한국사회적기업 진흥원 선정
지성영농조합법인     한국사회적기업 진흥원 선정
천안주거복지센터     한국사회적기업 진흥원 선정
비오비     한국사회적기업 진흥원 선정
거름     한국사회적기업 진흥원 선정
드림피아내드림장애인보호작업장사업단     한국사회적기업 진흥원 선정
날으는자동차     한국사회적기업 진흥원 선정
살림의료복지사회적협동조합     한국사회적기업 진흥원 선정
두손테크     한국사회적기업 진흥원 선정
큰사람아카데미     한국사회적기업 진흥원 선정
사회복지법인평화의마을     한국사회적기업 진흥원 선정
사회복지법인마로원     한국사회적기업 진흥원 선정
유한회사클린서비스보금자리     한국사회적기업 진흥원 선정
사회복지법인제주황새왓카리타스일배움터     한국사회적기업 진흥원 선정
엔젤사업지원단     한국사회적기업 진흥원 선정
영농조합법인산새미     한국사회적기업 진흥원 선정
일하는사람들     한국사회적기업 진흥원 선정
제주생태관광     한국사회적기업 진흥원 선정
제이엠누리     한국사회적기업 진흥원 선정
유한회사좋은세상     한국사회적기업 진흥원 선정
농업회사법인제주살림     한국사회적기업 진흥원 선정
제주물마루된장학교영농조합법인     한국사회적기업 진흥원 선정
오방색     한국사회적기업 진흥원 선정
재단법인행복아이씨티     한국사회적기업 진흥원 선정
두레     한국사회적기업 진흥원 선정
엑스컴정보통신     한국사회적기업 진흥원 선정
장애청년꿈을잡고     한국사회적기업 진흥원 선정
지드림     한국사회적기업 진흥원 선정
우리들행복나눔종합가구사업단     한국사회적기업 진흥원 선정
해피참사랑     한국사회적기업 진흥원 선정
수원사랑나눔     한국사회적기업 진흥원 선정
팝그린     한국사회적기업 진흥원 선정
디귿     한국사회적기업 진흥원 선정
다님길     한국사회적기업 진흥원 선정
통     한국사회적기업 진흥원 선정
농업회사법인김포농식품     한국사회적기업 진흥원 선정
살판협동조합     한국사회적기업 진흥원 선정
화순사랑     한국사회적기업 진흥원 선정
명하햇골     한국사회적기업 진흥원 선정
둘레     한국사회적기업 진흥원 선정
꿈드림키즈     한국사회적기업 진흥원 선정
사회적협동조합원주진로교육센터새움     한국사회적기업 진흥원 선정
서곡생태마을     한국사회적기업 진흥원 선정
마포공동체라디오     한국사회적기업 진흥원 선정
어시스타     한국사회적기업 진흥원 선정
한국장애인단체총연합회한국웹접근성인증평가원     한국사회적기업 진흥원 선정
에이컴퍼니     한국사회적기업 진흥원 선정
두바퀴희망자전거협동조합     한국사회적기업 진흥원 선정
레딕스     한국사회적기업 진흥원 선정
미담장학회     한국사회적기업 진흥원 선정
농업회사법인좋은마음     한국사회적기업 진흥원 선정
궁골식품영농조합법인     한국사회적기업 진흥원 선정
한옥체험업협회     한국사회적기업 진흥원 선정
쥬얼테크     한국사회적기업 진흥원 선정
지오디자인     한국사회적기업 진흥원 선정
자람씨네텃밭     한국사회적기업 진흥원 선정
영동군장애인협의회영동군장애인보호작업장     한국사회적기업 진흥원 선정
포아풀     한국사회적기업 진흥원 선정
알콩달콩가게유한회사     한국사회적기업 진흥원 선정
바다의향기     한국사회적기업 진흥원 선정
문화콩     한국사회적기업 진흥원 선정
울산행복한학교     한국사회적기업 진흥원 선정
