㈜크린서비스청
주식회사 뉴크린아트
함께사는마을 ㈜
주식회사어울푸름
합자회사에스엠에코
사회복지법인삼덕재단홍천군장애인근로작업장
희망을여는 사람들 두드림교복센터
(사단)인코리안심포니오케스트라
농업회사법인(주)올빛
유한회사다일
(재)대구행복한학교재단
(사) 한국지체장애인협회 달성군장애인재활자립작업장
영주시다문화희망공동체
(주)사랑의집수리망치와벽돌
사)장애인생산품판매지원협회
사회적협동조합홀더
세상에서가장아름다운나무 (다문화마켓)
산영영농조합법인(사무실)
사단법인 마당
(유)보은건설
주식회사 건강카페
㈜에이스잡
사단법인글로벌투게더음성
주식회사송암식품
(주)단양지크린
(주)크린충주
더불어(주)
일촌나눔하우징주식회사
주식회사위누
주식회사 코리아헤리티지센터
한국장애인국제예술단
학교환경개선지원센터
(사)장애인노동진흥회
주식회사 미추디자인
주식회사 비비컴퍼니
사단법인 아리수
은빛둥지
(유)해피클린
주식회사 해피브레드
사단법인 울진숲길
주식회사 니스
유한회사 금산주거복지센터
바이로컬 주식회사
주식회사현장사람들
사회복지법인 서울삼성원 삼성떡프린스
(주)레드스톤시스템
재단법인 행복한학교재단
주식회사 두성
사회복지법인 양혜원 양혜근로작업장
(주)두성시스템
(사)공간다락
주식회사 두루행복
㈜꿈이있는일터
주식회사이오에스
(주)행복도시락성남점
(사)울산광역시지체장애인협회 신정장애인보호작업장
(유한)거창늘푸른사람들
사단법인 아트챔버오케스트라
야은예절교육원
㈜유니월드
아미스 주식회사
사단법인문화진흥협회
사단법인 타악연희원아퀴
두메산골영농조합법인
(주)송지
사회복지법인 동안복지재단 동안우리복지센터
유한회사 다솜도시락
사단법인와우책문화예술센터
사단법인한국장애인문인복지후원회(본점)
평택돌봄사회서비스센터주식회사
수원의료복지사회적협동조합
사회복지법인로뎀복지재단로뎀직업재활센터
(사단법인)담쟁이
미디토리협동조합
(주)청소하는마을
주식회사 나눔크로바
생드르영농조합법인
(사)예술나눔
주식회사터치포굿
사회적협동조합인사랑케어
사단법인늘푸름늘푸름보호작업장
주식회사로운
시흥희망의료복지사회적협동조합
송학푸드(주)
(주)기락
사회적협동조합양지돌봄
주식회사 행복드림스
유한회사 통영늘푸른사람들
김해YMCA 아시아문화센터
사단법인문화창작집단공터다
(영농조합법인)나눔과섬김
(유)가온에스이
주식회사 드림앤첼린지
㈜희망하우징
주식회사피플크린
사회복지법인 구세군복지재단 구세군장애인재활작업장
(주)중원기업
(주)나누리
주식회사어울락
청송친환경(영농조합법인)
㈜사과나무
사단법인 광주광역시북구 장애인복지회 광주북구장애인직업재활센터
사회복지법인 송광재단 송광행복타운
농업회사법인 전북광역로컬푸드 주식회사
주식회사 서정
사회복지법인 정혜원 에코소랑
(주)공감만세
홍성유기농영농조합법인
㈜즐거운밥상
하나환경주식회사
우리아이친환경주식회사
한국복지방송(주)
(주)동춘서커스진흥원
(사)정가악회
주식회사극단아리랑
(사)대안영상문화발전소아이공
주식회사나눔환경
(주)무지개자활공동체
(주)워킹맘
산머루마을영농조합법인
(유)대산환경[사업서비스업]
유한회사아리울명가자연더하기
완주로컬푸드영농조합법인 건강한밥상
(사)꼭두
사단법인전북예술문화원
(사)전통문화마을
(사)교동아트
(유한)타밀
농업회사법인 흙살림푸드(주)
(주)은빛작업장
경계없는예술센터
(주)떡찌니
아하!열린교육센터
사단법인노름마치예술단
사단법인 문화예술교육협회
주식회사 디자인나무
주식회사 유스바람개비
주식회사성우환경
중구장애인보호작업장
영농조합법인창녕로컬푸드
(주)광주돌봄
하나더하기
(사)한국척수장애인협회디지털사업단
주식회사굿데이크리닝서비스
한국자재산업주식회사
주식회사더피움
해미읍성역사보존회
지성영농조합법인
주식회사천안주거복지센터
주식회사비오비
주식회사거름
사단법인 드림피아 내 드림장애인보호작업장 사업단
날으는자동차
살림의료복지사회적협동조합
(주)두손테크
주식회사큰사람아카데미
사회복지법인평화의마을
사회복지법인 마로원(길 직업재활센터)
유한회사클린서비스보금자리
사회복지법인 제주황새왓카리타스 일배움터
(유)엔젤사업지원단
영농조합법인 산새미
(사단법인)일하는사람들
(주)제주생태관광
주식회사제이엠누리
유한회사좋은세상
농업회사법인주식회사제주살림
제주물마루된장학교영농조합법인
㈜오방색
재단법인 행복아이씨티
주식회사두레
(주)엑스컴정보통신
사단법인장애청년꿈을잡고
주식회사지드림
사단법인 우리들행복나눔 종합가구사업단
(주)해피참사랑
(주)수원사랑나눔
(주)팝그린
주식회사디귿
주식회사다님길
주식회사 통(Tong cafe)
농업회사법인 김포농식품 주식회사
살판협동조합
사단법인화순사랑
주식회사 명하햇골
사단법인 둘레
㈜꿈드림키즈
사회적협동조합원주진로교육센터새움
사단법인서곡생태마을
사단법인 마포공동체라디오
어시스타주식회사
사단법인한국장애인단체총연합회한국웹접근성인증평가원
(주)에이컴퍼니
두바퀴희망자전거협동조합
(주)레딕스
미담장학회
농업회사법인 주식회사 좋은마음
궁골식품영농조합법인
사단법인 한옥체험업협회
㈜쥬얼테크
주식회사지오디자인
주식회사 자람씨네텃밭
사)영동군장애인협의회 영동군장애인보호작업장
주식회사포아풀
알콩달콩가게 유한회사
바다의향기
(주)문화콩
(재)울산행복한학교
주식회사파이디아
주식회사 오디에스
사단법인 순흥초군농악보존회
백암온천마을 영농조합법인
(주)두드림
(주)나눔스토어
주식회사가든프로젝트
주식회사복지유니온
(주)세상을움직이는힘 세움카페
모씨네사회적협동조합
㈜장애인장학사업장
(주)한신플러스케어
주식회사 한라환경
주식회사도우누리
유한회사 무균지대
사단법인 다솜 빛가람장애인시설
사단법인부암뮤직소사이어티
오픈컬리지 주식회사
사단법인빅이슈코리아
하남크린주식회사
주식회사행복나눔
사회복지법인손과손사업단예림일터
주식회사스포이즘
농업회사법인 주식회사 싸주아리
(사)전국독서새물결모임
사복)신애재활원 신애직업재활원
주식회사조물조물에코
사단법인청산
유한회사 거창행복나눔복지센터
(주)누리
(주)편안한집
사단법인 디오오케스트라(DIO Orchestra)
에덴영농 주식회사
유한회사 상우산업개발
(주)조은프로소싱
행복나래주식회사
(사)한국시각장애인연합회 한국웹접근성평가센터
(주)여주시주거복지센터
(주)우리비젼
아트커뮤니티아비투스
주식회사 아인
(주)서광티에스
(주)푸른세상
사회복지법인아그네스복지재단행복주식회사
(주)참다올푸드
주식회사커스프
사회적협동조합 동행
(주)글로벌리더십센터
사단법인 한산모시조합
주식회사 양원농장 농업회사법인
주식회사희망키움
(유)페넥스
유한회사마이크린
(유한)국민종합주택관리
속초시응골딸기영농조합법인
(주)돌봄세상
새누리기획사회적협동조합
희망나눔사회적협동조합
주식회사 현대에프앤비
재단법인행복그린넷
새노리
천등산 보호작업장
주식회사 돌봄사회서비스센터
주식회사행복한교육총연합회
(주)남영이앤아이
사단법인마당극패우금치
주식회사새암
㈜두꺼비하우징
주식회사케이앤씨가람
주식회사 남구재활용센터
주식회사 맑은기업
주식회사솔내음
주식회사 서해종합관리
주식회사 아가페
주식회사 한국공예전승협회
선문그린존(주)
㈜미항주거복지센터
수레인보우협동조합
나무애그림주식회사
농터(주)
해풍영농조합법인
한길코리아주식회사
주식회사새림종합환경
전통예술단 혼
주식회사이든밥상
주식회사새로이건축
흙사랑영농조합법인
(주)크린영동
초록마당영농조합법인
다사리장애인자립생활센터사업단사람플러스
한드미영농조합법인
주식회사청화팜
주식회사이엠에코
교육사회적기업포인트주식회사
사단법인 무형문화재 제47호 김병호류가야금 산조보존회
(사)예담은규방문화원
(주)쿠키아
국악예술단 고창
㈜갈릴리
주식회사자연스레
고신대학교 사회적기업 카페에또와 영도구청점
주식회사예선
우리환경개발(주)
(주)다래월드
주식회사디엔에스사회적기업
하얀세상주식회사
농업회사법인㈜지리산구례공동체
(주)다사랑산모케어
(주)반디숲
주식회사샐러드
주식회사피플앤컴
(주)프라임서비스
사단법인 한국여성인력개발원 카페봉봉사업단
사단법인빛소리오페라단(예비사회적기업)
유한회사클린환경
유한회사 자연향
(주)경민들레
(주)퐁당퐁당(생산장)
주식회사리맨
(재)한국중독연구재단청미래
주식회사공공프리즘
유한회사에스씨환경
(유한)나눔
(유)두레건축
유한회사정선재활용센타
(사)여성과나눔보육콜센터
주식회사일터
㈜미래를여는사람들
주식회사 참살이
주식회사행복을나누는도시락
주식회사 도농살림
주식회사 가까이한마음사회서비스센터
협동조합위드
(주)빛고을건설
(주) 희망자원
사회적기업 아시아
농업회사법인 행복한밥상㈜
주식회사어울림
(주)삶과환경
유한회사 영동군 사회서비스센터
(주)월화수크린
아산YMCA아가야
(재단법인)한국기독교청년회전국연맹
사단법인사랑의자전거
사단법인우리사랑복지원
사단법인희망나눔플러스
(주)씨토크커뮤니케이션즈
사단법인 한국이에이피협회
행복을나누는도시락부산해운대점
주식회사행복한일터
(주)아이티그린
주식회사나눔과돌봄
㈜에이스푸드
광주YMCA광주아가야
사단법인 농촌복지센터
목포YWCA희망지원센터
(사)함께하는세상
㈜진천주거복지센터두꺼비하우징
(사)한국장애인정보화협회오에이사업장
천안시꽃밭
(주)추억을파는극장
유한회사 클린월드
주식회사민들레누비
주식회사에듀크리안트
(주)에코바이오
(주)인스케어코어
엘림엔터테인먼트
민들레의료복지사회적협동조합
주식회사 이에스라이프
(재)다솜이재단
(주)일렉콤
주식회사거창돌봄지원센터
(주)청소사랑
(사)커뮤니티디자인연구소
사회복지법인영산(영산LTC사업단)
주식회사성동돌봄센터
이오에스물류(주)
창원늘푸른사람들 협동조합
사단법인 가경사회서비스지원센터
우리동네주식회사
다산명가주식회사농업회사법인
(주)비엠씨
사회적협동조합도우누리
(주)리블랭크
(주)트래블러스맵
㈜ 아주건강한속삭임
사회복지법인 한빛재단 효정
사단법인 한국장애인자립협회
유한회사 에스인제건설
(유한)김해늘푸른사람들
사회복지법인 성요셉복지재단 성요셉직업재활센터
주식회사 위더스함께걸음
(사)한국지체장애인협회 용인시보호작업장
주식회사 청인씨엔씨
사회적협동조합일과나눔
푸른우리 사회적협동조합
유한회사 맛디자인
(사)서울팝스오케스트라
오피스메카(주)
사단법인일상예술창작센터
더드림직업재활원
(사)한국지체장애인협회(춘천시장애인근로사업장)
(주)에코라이프살림
주식회사 자작나눔
(사)대구위드
전통연희단잔치마당
주식회사행복을나누는사람들행복한동행
(사)행복한아침독서
(주)리엔씨
(유)수인테리어
(주)그린텍
(사)충남교육연구소
씨투넷(주)
주식회사푸른바이크쉐어링
주식회사도담컴퍼니
유한회사늘푸른환경
(사)한국전통예술단아울
주식회사만나
주식회사 조은인테리어
(주)구츠
주식회사 에스제이미래하우징
주식회사 아림하우징
(재)아름다운가게
(사)안심생활
사회적기업 청람
위캔센터
세종장애아동후원회장애아동통합지원센터
(주)다사랑간병서비스
사단법인사랑의손길새소망
원주의료복지사회적협동조합
(주)미래이앤티
(사)충북사회교육센터
열린사회
함께일하는세상(주)
사회복지법인 손과손 핸인핸부평
사회복지법인동천학원동천
주식회사 노리단
사회복지법인 온누리복지재단 번동코이노니아 장애인보호작업시설
참사랑보호작업장
주식회사 컴윈
㈜늘푸른자원
(사)장애우권익문제연구소 리드릭
사회적협동조합자바르떼
(주)바리의꿈
(주)우리가만드는미래
(주)그린주의
(주)나눔공동체
(주)푸른환경코리아
(유) 늘푸른환경
주식회사다사랑행복도시락
(주)조이비전
사단법인한누리
(주)사람과환경
주식회사에코피아
안성의료복지사회적협동조합
(재)행복한나눔
농업회사법인 생명농업지원센터 유한회사
예심하우스
(주)화진산업
나눔터(나눔복지재단)
(주)시니어인력뱅크
(주)한찬코리아
남양주행복도시락주식회사
(주)세기위생방역
티팟(주)
사회적기업노란들판유한회사
서울의료복지사회적협동조합
주식회사 희망터
늘푸른직업재활원
사회복지법인무지개공동회엠마우스산업
(사)부산돌봄사회서비스센터
(사회복지법인)한숲복지재단
(사)희망을키우는일터
(유)행복을나누는도시락
한국재가장기요양기관(주)
(유)맑은누리
해바라기의료복지사회적협동조합
㈜천안돌봄사회서비스센터
(주)작은자리돌봄센터
주식회사 햇빛나들이
동그라미플러스
주식회사 카페티모르
함께걸음의료복지 사회적협동조합
(주)행복
함께하는우리
인천평화의료복지사회적협동조합
안산의료복지사회적협동조합
(주)제일산업
사회복지법인 유은복지재단 나눔공동체
씨튼장애인직업재활센터
(유한)나눔푸드
민들레마을주식회사
해피락 주식회사
(사단법인)사람과공간
사회복지법인성재원성세재활자립원
(주)가온
사회적협동조합 휴먼케어
(주)파랑발
영셰프
사단법인 한국아이티복지진흥원
사랑의손맛협동조합
실로암시각장애인복지회 실로암인더스트리(실로암장애인근로사업장)
사회복지법인 홍애원 장애인보호작업시설
사회복지법인에덴복지재단에덴하우스
유한회사빛드림
원주노인소비자생활협동조합
사회복지법인빛과소금복지재단(주는사랑사업단)
주식회사한백
사단법인 울산광역시지체장애인협회 상개장애인보호작업장
㈜다사랑보육서비스
농업회사법인 주식회사 콩세알
사회복지법인 가나안복지재단 가나안근로복지관
사회적기업웨슬리워커스 주식회사
임실노인복지센터일자리사업단
우리노인복지센터
전주사회서비스센터
목포이주외국인상담센터
사단법인 우리가꿈꾸는세상
송정인더스트리
유한회사행복한밥상
야베스공동체 주식회사
사회복지법인 천주교청주교구사회복지회 프란치스코의 집
주식회사 휴먼디앤씨
(주)참신나는옷
유한회사행복도시락(중구점행복을나누는도시락센터)
(주)페어트레이드코리아
(사단법인)한옥문화원
사단법인 예스21청소년재단
(주)도서출판점자
나눔돌봄사회적협동조합
(사)한국씨니어연합 노인복지센터
사회복지법인다운회아름다운
사단법인 해밝음장애인복지회
(주)다우환경
카리타스보호작업장
(주)크린서비스청
(주)이지무브
㈜파란세상
주식회사 섬나애드기획
(주)창작마을
주식회사혼디
(주)지랑
㈜한국스포츠산업개발원
(유한)영월군돌봄사회서비스센터
㈜마한환경
주식회사부산광역주거복지센터
(주)싸리비
사회적협동조합 피움
삼남장애인근로사업장
㈜꿈해비타트
농업회사법인 계수나무(주)
(주)예술무대산
더부러주식회사
주식회사동부케어
희망 주식회사
(유)나눔마켓러브레드
(주)착한사람들
한라산성암영귤농원영농조합법인
주식회사 지엔그린
주식회사 이그린
(주)하우징케어
(유)늘푸른환경
합자회사 햇살나눔
(사단법인)여성이만드는세상-해피푸드
주식회사서구웰푸드
주식회사두레마을
청주지역공동체시민센터
사회복지법인 성요한복지회 그라나다보호작업센터
청솔돌봄 사회적협동조합
(주)코끼리를키우는사람들
(주)가온누리
주식회사다솜건축인테리어
주식회사 행복큐산업
경북영주수퍼마켓협동조합
사회복지법인 창암복지재단 엘린
농업회사법인주식회사케이씨푸드
농업회사법인(주)단양농특산
주식회사 어울림
알프스마을영농조합법인
주식회사 다원식품
주식회사 프럼에이
주식회사 대전충남생태연구소숲으로
위즈온협동조합
유한회사 핸드마인
(사)소백산천연염색협회
(주)아리아간병
사회복지법인에덴복지재단형원
유한회사푸른내일건설
유한회사햇살마을
합명회사참좋은식품
유한회사 하나온
(주)이레우리밀
사회복지법인 디지비사회공헌재단 꿈나무교육사업단
주식회사 해피코리아
(주)최고의환한미소
사회복지법인한울정신건강복지재단사업단해내기보호작업장
(사)섬진강 도깨비마을
화탑영농조합법인
주식회사두드림
농업회사법인 주식회사 한국도라지
(주)홍성주거복지센터
농업회사법인유한회사선애마을보은
(주)청주재활용센터
사단법인한국운동건강협회
(재)내셔널트러스트 문화유산기금 전남지부
주식회사이엠사랑
(주)사람
사회복지법인 다하 세하앤 사업단
(주)사람인충주돌봄
(주)다인돌봄
(주)부여복지마을
민들레코하우징(주)
(사단법인)서울오케스트라
(사)수원음악진흥원
노리터사람들(주)
주민두레소비자생활협동조합
관악시니어클럽 (콩깍지)
(주)착한여행
문화예술조합 섬진강
(유)두레건축
정부물품재활용(주)
주식회사 포스플레이트
소화아람일터
주식회사 나누리
(주)녹색사람들
(주)공주돌봄
EM실천
사단법인사람과사람
사단법인숲생태지도자협회부설숲자라미
사단법인 에코언니야
농업회사법인 주식회사 지구마을
(사)부산메트로폴리탄필하모닉오케스트라
㈜맛들식품
사단법인 솔아
(사)한국신체장애인복지회인쇄사업장
수원굿윌스토어
장애인문화예술판
사단법인하늘에
수성돌봄사회적협동조합
(사)장애인생산품판매지원협회인쇄사업소
사단법인 캔파운데이션
사단법인남북장애인교류협회
(주)사람마중
정립전자(장애인근로사업장)
(사회복지법인)주내자육원일굼터
주식회사 수호
주식회사 씨앤에스코어
주식회사 행복드림
주식회사포드림
사단법인경제문화공동체더함
사단법인 틔움복지재단
제너럴바이오주식회사
주식회사 하이브
사회복지법인 한마음 한터(보호작업장)
한울타리
주식회사 플러스산업
(주)대화자산관리
한울타리사람들주식회사
(주)우드림썬코리아
주식회사대운
주식회사 아이밍키
(주)인덕리사이크링
(주)필름에이지
주식회사엔비전스
(주)노나메기
사단법인미래문화재단
(주)인성드림
㈜희망일터
㈜사회적기업 청정마을
사)샛별공동체 샛별재활원
(유한)아름다운환경
유한회사행복나누미
농업회사법인하늘땅주식회사
(주)희망그린마을
유한회사 김해돌봄지원센터
(주)아트브릿지
(사)한국장애인이워크협회일자리사업장
풀빛문화연대
㈜이야기꾼의 책공연
(주)대지를위한바느질
㈜영화제작소 눈
사회복지법인해든디자인플러스
(주)심원테크
주식회사 에이치앤에스두리반
(사)함께하는세상삼우보호작업장
㈜한누리
